ID;_assignment;strata;departamento;municipio
5030;1;5;ANTIOQUIA;AMAGA
5034;1;3;ANTIOQUIA;ANDES
5093;1;1;ANTIOQUIA;BETULIA
5107;1;1;ANTIOQUIA;BRICEÑO
5120;1;2;ANTIOQUIA;CACERES
5237;1;5;ANTIOQUIA;DON MATIAS
5240;1;1;ANTIOQUIA;EBEJICO
5250;1;3;ANTIOQUIA;EL BAGRE
5282;1;2;ANTIOQUIA;FREDONIA
5310;1;4;ANTIOQUIA;GOMEZ PLATA
5411;1;4;ANTIOQUIA;LIBORINA
5440;1;9;ANTIOQUIA;MARINILLA
5483;1;1;ANTIOQUIA;NARIÑO
5541;1;7;ANTIOQUIA;PEÑOL
5615;1;9;ANTIOQUIA;RIONEGRO
5631;1;9;ANTIOQUIA;SABANETA
5642;1;1;ANTIOQUIA;SALGAR
5656;1;4;ANTIOQUIA;SAN JERONIMO
5660;1;4;ANTIOQUIA;SAN LUIS
5664;1;8;ANTIOQUIA;SAN PEDRO
5697;1;8;ANTIOQUIA;SANTUARIO
5761;1;4;ANTIOQUIA;SOPETRAN
5809;1;1;ANTIOQUIA;TITIRIBI
5861;1;1;ANTIOQUIA;VENECIA
5887;1;3;ANTIOQUIA;YARUMAL
8137;1;1;ATLANTICO;CAMPO DE LA CRUZ
8141;1;4;ATLANTICO;CANDELARIA
8520;1;2;ATLANTICO;PALMAR DE VARELA
13006;1;2;BOLIVAR;ACHI
13042;1;1;BOLIVAR;ARENAL
13140;1;2;BOLIVAR;CALAMAR
13160;1;4;BOLIVAR;CANTAGALLO
13430;1;3;BOLIVAR;MAGANGUE
13442;1;3;BOLIVAR;MARIA LA BAJA
13468;1;2;BOLIVAR;MOMPOS
13473;1;5;BOLIVAR;MORALES
13549;1;2;BOLIVAR;PINILLOS
13647;1;1;BOLIVAR;SAN ESTANISLAO
13654;1;5;BOLIVAR;SAN JACINTO
13760;1;1;BOLIVAR;SOPLAVIENTO
13780;1;4;BOLIVAR;TALAIGUA NUEVO
13873;1;2;BOLIVAR;VILLANUEVA
15204;1;4;BOYACA;COMBITA
15238;1;9;BOYACA;DUITAMA
15367;1;4;BOYACA;JENESANO
15407;1;8;BOYACA;VILLA DE LEIVA
15480;1;7;BOYACA;MUZO
15572;1;9;BOYACA;PUERTO BOYACA
15599;1;4;BOYACA;RAMIRIQUI
15632;1;7;BOYACA;SABOYA
15686;1;4;BOYACA;SANTANA
15693;1;7;BOYACA;SANTA ROSA DE VITERBO
15755;1;4;BOYACA;SOCOTA
17380;1;6;CALDAS;LA DORADA
17486;1;8;CALDAS;NEIRA
17524;1;4;CALDAS;PALESTINA
17665;1;7;CALDAS;SAN JOSE
17867;1;4;CALDAS;VICTORIA
18150;1;2;CAQUETA;CARTAGENA DEL CHAIRA
18592;1;2;CAQUETA;PUERTO RICO
19022;1;2;CAUCA;ALMAGUER
19050;1;5;CAUCA;ARGELIA
19110;1;5;CAUCA;BUENOS AIRES
19130;1;2;CAUCA;CAJIBIO
19300;1;8;CAUCA;GUACHENE
19318;1;2;CAUCA;GUAPI
19450;1;2;CAUCA;MERCADERES
19517;1;5;CAUCA;PAEZ (BELALCAZAR)
19573;1;9;CAUCA;PUERTO TEJADA
19585;1;1;CAUCA;PURACE (COCONUCO)
19622;1;1;CAUCA;ROSAS
19760;1;4;CAUCA;SOTARA (PAISPAMBA)
19780;1;1;CAUCA;SUAREZ
19809;1;1;CAUCA;TIMBIQUI
20011;1;9;CESAR;AGUACHICA
20013;1;6;CESAR;AGUSTIN CODAZZI
20045;1;4;CESAR;BECERRIL
20175;1;2;CESAR;CHIMICHAGUA
20517;1;4;CESAR;PAILITAS
20787;1;1;CESAR;TAMALAMEQUE
23417;1;6;CORDOBA;LORICA
23466;1;6;CORDOBA;MONTELIBANO
23670;1;5;CORDOBA;SAN ANDRES DE SOTAVENTO
23678;1;2;CORDOBA;SAN CARLOS
23807;1;3;CORDOBA;TIERRALTA
25035;1;7;CUNDINAMARCA;ANAPOIMA
25040;1;7;CUNDINAMARCA;ANOLAIMA
25053;1;7;CUNDINAMARCA;ARBELAEZ
25148;1;4;CUNDINAMARCA;CAPARRAPI
25154;1;4;CUNDINAMARCA;CARMEN DE CARUPA
25281;1;7;CUNDINAMARCA;FOSCA
25307;1;9;CUNDINAMARCA;GIRARDOT
25317;1;7;CUNDINAMARCA;GUACHETA
25320;1;8;CUNDINAMARCA;GUADUAS
25322;1;7;CUNDINAMARCA;GUASCA
25372;1;4;CUNDINAMARCA;JUNIN
25402;1;7;CUNDINAMARCA;LA VEGA
25407;1;7;CUNDINAMARCA;LENGUAZAQUE
25438;1;7;CUNDINAMARCA;MEDINA
25488;1;8;CUNDINAMARCA;NILO
25513;1;8;CUNDINAMARCA;PACHO
25572;1;5;CUNDINAMARCA;PUERTO SALGAR
25599;1;7;CUNDINAMARCA;APULO
25645;1;7;CUNDINAMARCA;SAN ANTONIO DEL TEQUENDAMA
25658;1;7;CUNDINAMARCA;SAN FRANCISCO
25718;1;7;CUNDINAMARCA;SASAIMA
25779;1;7;CUNDINAMARCA;SUSA
25797;1;7;CUNDINAMARCA;TENA
25873;1;8;CUNDINAMARCA;VILLAPINZON
27075;1;1;CHOCO;BAHIA SOLANO (MUTIS)
27160;1;1;CHOCO;CERTEGUI
27205;1;1;CHOCO;CONDOTO
27787;1;1;CHOCO;TADO
27800;1;1;CHOCO;UNGUIA
41006;1;8;HUILA;ACEVEDO
41016;1;5;HUILA;AIPE
41319;1;5;HUILA;GUADALUPE
41357;1;7;HUILA;IQUIRA
41503;1;7;HUILA;OPORAPA
41524;1;5;HUILA;PALERMO
41530;1;7;HUILA;PALESTINA
41551;1;9;HUILA;PITALITO
41660;1;7;HUILA;SALADOBLANCO
41770;1;8;HUILA;SUAZA
41801;1;7;HUILA;TERUEL
