system:index,areakm2_cab,areakm2_mun,areakm2_munNoCab,mpio_ccnct,.geo
0000000000000000003f_00000000000000000b07_0000000000000000002a,7.31509265637207,36.63899601513672,29.31915912939453,5380,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_00000000000000000fc0_0000000000000000003a,5.06498709375,15.828605527526856,10.758236344360352,5631,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_00000000000000000e06_00000000000000000000,1.2387190579223633,507.15114057244875,505.9159272227783,5002,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_00000000000000000e0e_00000000000000000001,1.5473064849243163,84.13261828826904,82.58168534075928,5030,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_00000000000000000e1c_00000000000000000002,1.6627358992919923,1209.1174056268922,1207.4571436924439,5031,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_00000000000000000e20_00000000000000000003,2.0926825946044922,402.5119220188599,400.41935384210205,5034,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_00000000000000000e1e_00000000000000000004,0.7717541821899414,81.87202876995849,81.09683678778076,5036,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_00000000000000000e22_00000000000000000005,0.48217609686279295,338.67864174957276,338.1980303400879,5038,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_00000000000000000e29_00000000000000000006,1.2984413717041015,1413.7607813848877,1412.4615489960938,5040,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_00000000000000000e25_00000000000000000007,3.5967613276977537,525.6056882149658,522.0106400789184,5042,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_00000000000000000e35_00000000000000000008,1.5435156988525391,754.2683270116577,752.7240211846314,5051,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_00000000000000000e40_00000000000000000009,0.5631337893676758,245.35436816046143,244.791003637146,5055,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_00000000000000000e0d_0000000000000000000a,2.787807420593262,205.66673695916748,202.88054970172118,5079,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_00000000000000000e55_0000000000000000000b,0.3751930017089844,180.52210149310304,180.14523921563722,5091,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_00000000000000000e5c_0000000000000000000c,0.5984016496582031,262.3761171430054,261.78027954138184,5093,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_00000000000000000e5e_0000000000000000000d,1.4720213320922853,260.45537236010745,258.98966681536865,5101,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_00000000000000000e60_0000000000000000000e,0.49922497387695314,376.34159271295164,375.8436589625244,5107,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_00000000000000000e66_0000000000000000000f,1.6559647994384765,1873.7931298483886,1872.140000684082,5120,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_00000000000000000e72_00000000000000000010,0.16413535607910157,200.11573547729492,199.95051331036376,5125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_00000000000000000e57_00000000000000000011,3.986897030090332,132.74698037432861,128.76401220861817,5129,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_00000000000000000e83_00000000000000000012,0.5671866173706055,206.3468846333618,205.77959510961915,5134,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_00000000000000000e88_00000000000000000013,0.9078477736206054,364.8203318970947,363.91443739227293,5138,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_00000000000000000e90_00000000000000000014,2.7242228024291992,387.2664643178711,384.5393026358032,5147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_00000000000000000e00_00000000000000000015,3.0868288944091797,423.6845585335693,420.5989428974609,5148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_00000000000000000e85_00000000000000000016,17.157825087402344,1429.120516161255,1411.977165986206,5154,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_00000000000000000ea0_00000000000000000017,3.9330101801757813,721.6595393652954,717.7317508074341,5172,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_00000000000000000e9f_00000000000000000018,1.4512750634155274,46.936586802124026,45.49146994287109,5190,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_00000000000000000ea4_00000000000000000019,0.8120541354980468,241.76334504870604,240.9527289140625,5197,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_00000000000000000eaa_0000000000000000001a,0.8189871471557617,247.86676521356202,247.05116095672608,5209,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_00000000000000000ea7_0000000000000000001b,7.642637103271484,67.75071648773194,60.11046325964355,5212,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_00000000000000000eb1_0000000000000000001c,2.4888688794555662,1957.3217852598877,1954.8347564799806,5234,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_00000000000000000eb8_0000000000000000001d,1.092001260986328,203.3289436895752,202.23762302954103,5237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_00000000000000000ebc_0000000000000000001e,0.2795251469116211,237.80119182580566,237.51983574224855,5240,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_00000000000000000ec7_0000000000000000001f,11.035994830566406,1560.2809665638429,1549.2164630510254,5250,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_00000000000000000ed7_00000000000000000020,1.0531391275634765,214.19380296679688,213.1423193902588,5264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_00000000000000000ee9_00000000000000000021,2.159771714477539,258.084371682312,255.92900260595704,5282,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_00000000000000000eec_00000000000000000022,3.0784941047973633,1384.1240573464966,1381.0437266724243,5284,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_00000000000000000eff_00000000000000000023,1.0541487495117188,332.195520703125,331.1435461468506,5310,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_00000000000000000f09_00000000000000000024,0.5944105537109375,190.22319741955567,189.62936275927734,5313,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_00000000000000000f15_00000000000000000025,1.7305024755859375,151.81971288043212,150.085450784729,5318,"{""type"":""MultiPoint"",""coordinates"":[]}"
