ID,municipio,departamento
5002,ABEJORRAL,ANTIOQUIA
5030,AMAGA,ANTIOQUIA
5031,AMALFI,ANTIOQUIA
5034,ANDES,ANTIOQUIA
5036,ANGELOPOLIS,ANTIOQUIA
5038,ANGOSTURA,ANTIOQUIA
5040,ANORI,ANTIOQUIA
5042,ANTIOQUIA,ANTIOQUIA
5051,ARBOLETES,ANTIOQUIA
5055,ARGELIA,ANTIOQUIA
5079,BARBOSA,ANTIOQUIA
5091,BETANIA,ANTIOQUIA
5093,BETULIA,ANTIOQUIA
5101,BOLIVAR,ANTIOQUIA
5107,BRICEÑO,ANTIOQUIA
5120,CACERES,ANTIOQUIA
5125,CAICEDO,ANTIOQUIA
5129,CALDAS,ANTIOQUIA
5134,CAMPAMENTO,ANTIOQUIA
5138,CAÑASGORDAS,ANTIOQUIA
5147,CAREPA,ANTIOQUIA
5148,CARMEN DE VIBORAL,ANTIOQUIA
5154,CAUCASIA,ANTIOQUIA
5172,CHIGORODO,ANTIOQUIA
5190,CISNEROS,ANTIOQUIA
5197,COCORNA,ANTIOQUIA
5209,CONCORDIA,ANTIOQUIA
5212,COPACABANA,ANTIOQUIA
5234,DABEIBA,ANTIOQUIA
5237,DON MATIAS,ANTIOQUIA
5240,EBEJICO,ANTIOQUIA
5250,EL BAGRE,ANTIOQUIA
5264,ENTRERRIOS,ANTIOQUIA
5282,FREDONIA,ANTIOQUIA
5284,FRONTINO,ANTIOQUIA
5310,GOMEZ PLATA,ANTIOQUIA
5313,GRANADA,ANTIOQUIA
5318,GUARNE,ANTIOQUIA
5361,ITUANGO,ANTIOQUIA
5364,JARDIN,ANTIOQUIA
5368,JERICO,ANTIOQUIA
5376,LA CEJA,ANTIOQUIA
5380,LA ESTRELLA,ANTIOQUIA
5400,LA UNION,ANTIOQUIA
5411,LIBORINA,ANTIOQUIA
5440,MARINILLA,ANTIOQUIA
5480,MUTATA,ANTIOQUIA
5483,NARIÑO,ANTIOQUIA
5490,NECOCLI,ANTIOQUIA
5495,NECHI,ANTIOQUIA
5541,PEÑOL,ANTIOQUIA
5543,PEQUE,ANTIOQUIA
5579,PUERTO BERRIO,ANTIOQUIA
5585,PUERTO NARE-LA MAGDALENA,ANTIOQUIA
5591,PUERTO TRIUNFO,ANTIOQUIA
5604,REMEDIOS,ANTIOQUIA
5607,RETIRO,ANTIOQUIA
5615,RIONEGRO,ANTIOQUIA
5631,SABANETA,ANTIOQUIA
5642,SALGAR,ANTIOQUIA
5649,SAN CARLOS,ANTIOQUIA
5656,SAN JERONIMO,ANTIOQUIA
5659,SAN JUAN DE URABA,ANTIOQUIA
5660,SAN LUIS,ANTIOQUIA
5664,SAN PEDRO,ANTIOQUIA
5665,SAN PEDRO DE URABA,ANTIOQUIA
5667,SAN RAFAEL,ANTIOQUIA
5670,SAN ROQUE,ANTIOQUIA
5674,SAN VICENTE,ANTIOQUIA
5679,SANTA BARBARA,ANTIOQUIA
5686,SANTA ROSA DE OSOS,ANTIOQUIA
